ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input kW,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input kW,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,PKA-M100KA/PUZ-ZM100YKA-A,,,MITSUBISHI ELECTRIC,3.1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,3.18,6.9,10,295,0,0,0,365,3.35,11.2,Enthalpy Test Room,3.5036,3.9013,TRUE,57.5,,44,44,4.918733961,0,,,,3.354071489,3.735046065,,,0,0,0,0,Enthalpy Test Room,Three,R32,"Australia,New Zealand",119405,05/03/2024,,Approved,Reverse Cycle,1170,Class 5,TRUE,,,TRUE,TRUE,TRUE,,3.5036,Available,,,http://www.MitsubishiElectric.com.au/,,TRUE,,,AAC3828,,Variable output compressor,Inverter,,,,3.18,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0042,3.2012
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,PKA-M100KAL/PUZ-ZM100YKA-A,,,MITSUBISHI ELECTRIC,3.1,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,3.18,6.9,10,295,0,0,0,365,3.35,11.2,Enthalpy Test Room,3.5036,3.9013,TRUE,57.5,,44,44,4.918733961,0,,,,3.354071489,3.735046065,,,0,0,0,0,Enthalpy Test Room,Three,R32,"Australia,New Zealand",119410,09/03/2024,,Approved,Reverse Cycle,1170,Class 5,TRUE,,,TRUE,TRUE,TRUE,,3.5036,Available,,,http://www.MitsubishiElectric.com.au/,,TRUE,,,AAC3837,,Variable output compressor,Inverter,,,,3.18,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0042,3.2012
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,PEA-M100GAA/PUZ-ZM100YKA-A,,,MITSUBISHI ELECTRIC,1.5,Ducted,Single Split System,,Air,Air,Thailand,2.91,8.5,10,634,0,0,0,400,3,11.2,Enthalpy Test Room,3.9322,4.2797,TRUE,0,,44,44,0,0,,,,3.74085322,4.077529917,,,0,0,0,0,Enthalpy Test Room,Three,R32,"Australia,New Zealand",119411,02/03/2024,,Approved,Reverse Cycle,1400,Class 7,TRUE,,,TRUE,TRUE,TRUE,,3.9322,Available,,,http://www.MitsubishiElectric.com.au/,,TRUE,,,AAC3804,,Variable output compressor,Inverter,,,,2.91,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2693,3.557
[SEER Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,,AS/NZS 3823.1.4:2012,MDV-V105W/DN1-B/MDV-D22G/N1-S,,,MIDEA,1.1,Non Ducted,Multiple split - VRF,,Air,Air,China,3,8.9,10,,0,0,0,,3.1,11,Enthalpy Test Room,3.488,3.535,TRUE,0,,35,35,0,0,,,,3.357027259,3.405741124,,,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",119423,05/03/2024,,Approved,Reverse Cycle,,Class 10,FALSE,,FALSE,,,,,3.488,Available,,,,,TRUE,,,AAC3822,,Variable output compressor,Inverter,,,,3,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2069,3.418
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,MOVG-96HD1N1-R/MHC-96HWD1N1,,,MIDEA,5.5,Ducted,Single Split System,,Air,Air,China,8.2,21,26.5,,0,0,0,,8,26.5,Enthalpy Test Room,3.1798,3.3757,TRUE,0,,57.6,57.6,0,0,,,,3.106111005,3.293783829,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",119425,09/03/2024,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.1798,Available,,,,,TRUE,,,AAC3836,,Variable output compressor,Inverter,,,,8.2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1568,3.2338
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,MOVG-76HD1N1-R/MHC-76HWD1N1,,,MIDEA,4,Ducted,Single Split System,,Air,Air,China,7,19.5,23.5,,0,0,0,,7.55,25.5,Enthalpy Test Room,3.3177,3.3661,TRUE,0,,30,30,0,0,,,,3.27230566,3.323462528,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",119427,09/03/2024,,Approved,Reverse Cycle,,Class 11,FALSE,,FALSE,,,,,3.3177,Available,,,,,TRUE,,,AAC3835,,Variable output compressor,Digital Scroll,,,,7,,,,,,,,,,,,,,,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3092,3.3327
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,42SHDS051/38SHDS051,,,Carrier,1.2,Ducted,Single Split System,,Air,Air,China,1.545,3.8,5,,0,0,0,,1.56,5.9,Enthalpy Test Room,3.28,3.8069,TRUE,50.6,,10,10,4.614963504,4.858075041,,,,3.210001263,3.726142642,,,0,0,0,0,Enthalpy Test Room,Single,R32,"Australia,Fiji,New Zealand",119430,28/02/2024,,Approved,Reverse Cycle,,Class 6,FALSE,,FALSE,,,,,3.28,Available,,,http://www.midea.com.cn/,,TRUE,,,AAC3796,,Variable output compressor,Inverter,,,,1.545,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.167,3.7018
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,42QZL067VS / 38QZL067VS,,,Carrier,1.3,Non Ducted,Single Split System,Floor/Ceiling,Air,Air,China,2.01,5.3,6.6,,0,0,0,,1.91,7.2,Enthalpy Test Room,3.2822,3.8369,TRUE,50.2,,8,8,4.646239554,4.76802097,,,,3.238801002,3.783581016,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",119431,05/03/2024,,Approved,Reverse Cycle,,Class 4,FALSE,,FALSE,,,,,3.2822,Available,,,http://www.midea.com.cn/,,TRUE,,,AAC3826,,Variable output compressor,Inverter,,,,2.01,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,3.717
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,42QZL076VS / 38QZL076VS,,,Carrier,0.75,Non Ducted,Single Split System,Floor/Ceiling,Air,Air,China,2.31,6.75,7.5,,0,0,0,,2.38,8.8,Enthalpy Test Room,3.2616,3.7115,TRUE,50.5,,10,10,4.67804878,4.813978495,,,,3.21459008,3.659516316,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",119432,02/03/2024,,Approved,Reverse Cycle,,Class 4,FALSE,,FALSE,,,,,3.2616,Available,,,http://www.midea.com.cn/,,TRUE,,,AAC3812,,Variable output compressor,Inverter,,,,2.31,,,,,,,,,,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1999,3.6457
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,PEAD-M100JAA/PUZ-ZM100YKA-A,,,MITSUBISHI ELECTRIC,1.9,Ducted,Single Split System,,Air,Air,Thailand,3.13,8.1,10,732,0,0,0,250,3.06,11.2,Enthalpy Test Room,3.6902,4.3124,TRUE,55.2,,44,44,4.919786096,0,,,,3.52150769,4.11212969,,,0,0,0,0,Enthalpy Test Room,Three,R32,"Australia,New Zealand",119436,28/02/2024,,Approved,Reverse Cycle,1400,Class 7,TRUE,,,TRUE,TRUE,TRUE,,3.6902,Available,,,http://www.MitsubishiElectric.com.au/,,TRUE,,,AAC3795,,Variable output compressor,Inverter,,,,3.13,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.4905
