"PARTICIPANT_NAME","TRADE_NAME","RANGE","CERTIFICAT","MODEL_TYPE","SOFTWARE_NAME","SOFTWARE_VERSION","FACTORY_COUNTRY","FACTORY_CITY","MODEL_NAME","SeasonalCooling | Pdesignc","SeasonalCooling | SEER","SeasonalCooling | Effsc","Seasonal Efficiency in Cooling | Pdesignc","Seasonal Efficiency in Cooling | SEER","Seasonal Efficiency in Cooling | Qce","Seasonal Efficiency in Cooling | SEER Class","Heating Average Climate | Pdesignh","Heating Average Climate | SCOP","Heating Average Climate | SCOP Class","Heating Average Climate | Qhe","SeasonalHeating | Pdesignh","SeasonalHeating | SCOP","SeasonalHeating | Effsh","Acoustic | LwO env","Acoustic | LwI1 env","Acoustic | LwI1 duct","Acoustic | LwI2 env","Acoustic | LwO duct","Acoustic | LwI2 duct","Acoustic in heating | LwO env in heating","Acoustic in heating | LwI1 env in heating","Acoustic in heating | LwI2 env in heating","Acoustic in heating | LwO duct in heating","Acoustic in heating | LwI1 duct in heating","Acoustic in heating | LwI duct2 in heating","Standard Cooling/Cooling PL Cond A | Pc","Standard Cooling/Cooling PL Cond A | Pec","Standard Cooling/Cooling PL Cond A | EER","Standard Cooling/Cooling PL Cond A | Ph","Standard Cooling/Cooling PL Cond A | COP","Standard Cooling/Cooling PL Cond A | EER Class","Standard Cooling/Cooling PL Cond A | Peh","Standard Cooling/Cooling PL Cond A | COP Class","Standard Cooling/Cooling PL Cond A | EER Class","Cooling PL CondB | Pc @ 30°C ","Cooling PL CondB | PcB","Cooling PL CondB | EER @ 30°C ","Cooling PL CondB | EERB","Cooling PL CondC | Pc @ 25°C","Cooling PL CondC | PcC","Cooling PL CondC | EER @ 25°C","Cooling PL CondC | EERC","Cooling PL CondD | Pc @ 20°C ","Cooling PL CondD | PcD","Cooling PL CondD | EER @ 20°C ","Cooling PL CondD | EERD","Standard Heating | Ph","Standard Heating | Ph","Standard Heating | Peh","Standard Heating | Peh","Standard Heating | COP","Standard Heating | COP","Heating PL CondA | Ph @ -7°C","Heating PL CondA | PhA","Heating PL CondA | COP @ -7°C","Heating PL CondA | COPA","Heating PL CondB | Ph @ +2°C","Heating PL CondB | PhB","Heating PL CondB | COP @ 2°C","Heating PL CondB | COPB","Heating PL CondC | Ph @ +7°C","Heating PL CondC | PhC","Heating PL CondC | COP @ +7°C","Heating PL CondC | COPC","Heating PL CondD | Ph @ +12°C","Heating PL CondD | PhD","Heating PL CondD | COP @ +12°C","Heating PL CondD | COPD","Bivalent Point | Tbiv","Bivalent Point | COP @ Tbiv","Bivalent Point | Ph TBiv","TOL Runing Test | TOL","TOL Runing Test | Ph_E","TOL Runing Test | COP_E","Heating Colder Climate | SCOP","Heating Colder Climate | SCOP Class_colder climate","Heating Colder Climate | SCOP Class_colder climate","Heating Colder Climate | Qhe","Bivalent Point Colder Climate | Tbiv_c","Bivalent Point Colder Climate | Ph @ Tbiv°C_c","Bivalent Point Colder Climate | COP @ Tbiv_c ","Heating Warmer Climate | SCOP","Heating Warmer Climate | SCOP Class_warmer climate","Heating Warmer Climate | Qhe","Poffc | Poff","Psbc | Psb","Psbc | Psbc","Ptoc | Pto","Pck | Pck","Poffh | Poffh","Psbh | Psbh","Psbh | Psbh","Ptoh | Ptoh","Pckh | Pckh","Cooling | EER @ 30°C ","Cooling | Pc @ 30°C ","Cooling | EER @ 25°C","Cooling | Pc @ 25°C","Cooling | EER @ 20°C ","Cooling | Pc @ 20°C ","Cooling | Pdesignc","Cooling | SEER","Cooling | Qce","PLH Heating Average Climate | COP @ -7°C","PLH Heating Average Climate | Ph @ -7°C","PLH Heating Average Climate | COP @ 2°C","PLH Heating Average Climate | Ph @ +2°C","PLH Heating Average Climate | COP @ +7°C","PLH Heating Average Climate | Ph @ +7°C","PLH Heating Average Climate | COP @ +12°C","PLH Heating Average Climate | Ph @ +12°C","PLH Heating Average Climate | Pdesignh","PLH Heating Average Climate | Qhe","PLH Heating Average Climate | SCOP","Psb, Pto and Poff | Poff","Psb, Pto and Poff | Psb","Psb, Pto and Poff | Pto","LRcontmin Cooling | LRcontminc","LRcontmin Cooling | CcpLRcontminc","LRcontmin Heating | LRcontminh","LRcontmin Heating | CcpLRcontminh","General | Inverter","General | Capacity Control","General | Main Power Supply","General | Refrigerant","General | Refr. Line","General | Mounting","General | No. of IU","General | IU Range Names","General | Initial Refrigerant Charge","Eligible_CEE | Eligible_CEE"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU2M15 UL4  / MJ07PC NSJ / MJ07PC NSJ","","","","4.10","7.60","189.00","A++","4.10","4.20","A+","1367.00","","","","61","56","","","","","","","","","","","4.10","0.98","4.20","","","","","","","3.00","","6.40","","2.00","","9.70","","1.20","","11.70","","","4.70","","1.07","","4.40","3.60","","3.00","","2.30","","4.10","","1.60","","5.50","","1.50","","6.20","","-7","3.00","3.60","-15.00","3.10","2.40","","","","","","","","","","","5.00","5.00","","15.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU2R15 UL0 / MJ07PC NSJ / MJ07PC NSJ","","","","4.10","8.50","169.00","A+++","4.10","4.20","A+","1367.00","","","","61","56","","","","","","","","","","","4.10","0.99","4.15","","","","","","","3.03","","6.77","","1.94","","10.90","","1.42","","16.30","","","4.69","","1.07","","4.40","3.63","","2.92","","2.25","","4.22","","1.60","","5.24","","1.57","","6.47","","-7","2.92","3.63","-15.00","3.50","2.25","","","","","","","","","","","5.00","5.00","","15.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU2M17 UL4  / MJ07PC NSJ / MJ09PC NSJ","","","","4.70","7.50","219.00","A++","4.10","4.20","A+","1367.00","","","","63","56","","","","","","","","","","","4.70","1.24","3.80","","","","","","","3.50","","6.30","","2.30","","9.40","","1.20","","11.70","","","5.30","","1.23","","4.30","3.60","","3.00","","2.30","","4.10","","1.60","","5.50","","1.50","","6.20","","-7","3.00","3.60","-15.00","3.10","2.40","","","","","","","","","","","5.00","5.00","","15.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU2R17 UL0 / MJ07PC NSJ / MJ09PC NSJ","","","","4.69","7.80","210.00","A++","4.10","4.20","A+","1367.00","","","","63","56","","","","","","","","","","","4.69","1.25","3.75","","","","","","","3.46","","6.00","","2.23","","9.70","","1.42","","15.10","","","5.30","","1.25","","4.25","3.63","","2.92","","2.22","","4.22","","1.60","","5.24","","1.57","","6.47","","-7","2.92","3.63","-15.00","3.50","2.25","","","","","","","","","","","5.00","5.00","","15.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU3M19 UE4  / MJ09PC NSJ / MJ09PC NSJ","","","","4.90","7.10","241.00","A++","4.80","3.80","A","1768.00","","","","63","56","","","","","","","","","","","4.90","1.29","3.80","","","","","","","3.60","","6.10","","2.30","","8.80","","1.90","","11.70","","","6.30","","1.62","","3.90","4.30","","2.80","","2.60","","3.70","","1.80","","4.80","","1.00","","5.10","","-7","2.80","4.30","-15.00","3.50","2.30","","","","","","","","","","","5.00","5.00","","18.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU3R19 UE0 / MJ09PC NSJ / MJ09PC NSJ","","","","4.90","7.11","241.00","A++","4.60","3.81","A","1690.00","","","","63","56","","","","","","","","","","","4.90","1.29","3.80","","","","","","","3.63","","6.20","","2.33","","9.40","","1.50","","10.00","","","6.30","","1.62","","3.90","4.07","","2.85","","2.48","","3.80","","1.65","","4.60","","1.00","","4.90","","-7","2.85","4.07","-15.00","3.80","2.25","","","","","","","","","","","5.70","5.70","","18.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU3M21 UE4  / MJ09PC NSJ / MJ09PC NSJ","","","","5.60","7.00","280.00","A++","4.80","3.80","A","1768.00","","","","64","56","","","","","","","","","","","5.60","1.60","3.50","","","","","","","4.10","","5.50","","2.70","","8.80","","1.90","","11.70","","","7.00","","1.89","","3.70","4.30","","2.80","","2.60","","3.70","","1.80","","4.80","","1.00","","5.10","","-7","2.80","4.30","-15.00","3.50","2.30","","","","","","","","","","","5.00","5.00","","18.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU3R21 UE0 / MJ09PC NSJ / MJ12PC NSJ","","","","5.60","7.00","280.00","A++","4.60","3.81","A","1690.00","","","","64","56","","","","","","","","","","","5.60","1.53","3.65","","","","","","","4.15","","5.70","","2.70","","9.20","","1.50","","10.00","","","7.00","","1.89","","3.70","4.07","","2.85","","2.48","","3.80","","1.65","","4.60","","1.00","","4.90","","-7","2.85","4.07","-15.00","3.80","2.25","","","","","","","","","","","5.70","5.70","","18.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU4M25 U44  / MJ07PC NSJ / MJ18PC NSK","","","","6.40","6.70","315.00","A++","6.60","3.80","A","2432.00","","","","64","56","","60","","","","","","","","","6.40","2.00","3.20","","","","","","","4.70","","5.50","","3.00","","8.50","","2.20","","10.50","","","8.40","","2.47","","3.40","5.90","","2.60","","3.60","","3.60","","2.40","","5.00","","1.90","","6.10","","-7","2.60","5.90","-15.00","4.80","2.20","","","","","","","","","","","5.00","5.00","","24.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU4R25 U40/ MJ07PC NSJ / MJ18PC NSK","","","","6.40","8.10","277.00","A++","6.70","4.00","A+","2345.00","","","","64","56","","60","","","","","","","","","6.40","1.60","4.00","","","","","","","4.72","","5.91","","3.04","","10.40","","2.20","","15.50","","","8.40","","2.15","","3.90","5.93","","2.63","","3.61","","3.94","","2.32","","5.10","","1.35","","6.20","","-7","2.63","5.93","-15.00","6.20","2.10","","","","","","","","","","","5.00","5.00","","24.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU4M27 U44  / MJ07PC NSJ / MJ18PC NSK","","","","6.80","6.60","340.00","A++","6.60","3.80","A","2432.00","","","","65","56","","60","","","","","","","","","6.80","2.27","3.00","","","","","","","5.00","","5.40","","3.30","","8.50","","2.20","","10.50","","","9.10","","2.84","","3.20","5.90","","2.60","","3.60","","3.60","","2.40","","5.00","","1.90","","6.10","","-7","2.60","5.90","-15.00","4.80","2.20","","","","","","","","","","","5.00","5.00","","24.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU4R27 U40 / MJ09PC NSJ / MJ18PC NSK","","","","6.80","8.10","294.00","A++","6.70","4.00","A+","2345.00","","","","65","56","","60","","","","","","","","","6.80","1.74","3.90","","","","","","","5.02","","5.90","","3.24","","10.30","","2.20","","15.50","","","9.08","","2.52","","3.60","5.93","","2.63","","3.61","","3.94","","2.32","","5.10","","1.35","","6.20","","-7","2.63","5.93","-15.00","6.20","2.10","","","","","","","","","","","5.00","5.00","","24.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU5M30 U44  / MJ07PC NSJ / MJ24PC NSK","","","","7.30","6.30","418.00","A++","6.80","3.80","A","2505.00","","","","66","56","","65","","","","","","","","","7.30","2.61","2.80","","","","","","","5.40","","4.90","","3.50","","7.50","","2.20","","12.10","","","10.10","","3.37","","3.00","6.00","","2.70","","3.70","","3.70","","2.50","","4.80","","1.70","","5.50","","-7","2.70","6.00","-15.00","5.00","2.10","","","","","","","","","","","5.00","5.00","","28.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU5R30 U40 / MJ12PC NSJ / MJ18PC NSK","","","","7.30","7.80","328.00","A++","6.90","4.00","A+","2415.00","","","","66","56","","60","","","","","","","","","7.30","2.10","3.48","","","","","","","5.38","","5.93","","3.46","","9.60","","2.20","","15.10","","","10.10","","2.97","","3.40","6.11","","2.67","","3.72","","3.93","","2.39","","5.12","","1.35","","6.10","","-7","2.67","6.11","-15.00","6.20","2.10","","","","","","","","","","","5.00","5.00","","24.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","MU5M40 UO2  / MJ18PC NSK / MJ24PC NSK","","","","10.50","5.60","656.00","A+","10.50","3.80","A","3868.00","","","","67","60","","65","","","","","","","","","10.50","2.92","3.60","","","","","","","7.70","","5.50","","6.10","","6.80","","6.00","","7.90","","","12.50","","3.79","","3.30","9.30","","2.70","","5.70","","3.80","","4.00","","4.60","","3.30","","5.60","","-10","2.30","10.50","-10.00","10.50","2.30","","","","","","","","","","","14.70","14.70","","26.80","45.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","FM40AH UO2  / MJ18PC NSK / MJ24PC NSK","","","","10.50","5.60","656.00","A+","10.50","3.80","A","3868.00","","","","67","60","","65","","","","","","","","","10.50","2.92","3.60","","","","","","","7.70","","5.30","","6.40","","7.10","","6.00","","7.80","","","12.50","","3.79","","3.30","9.30","","2.70","","5.70","","3.80","","4.00","","4.60","","3.50","","5.60","","-10","2.40","10.50","-10.00","10.50","2.40","","","","","","","","","","","14.70","14.70","","26.80","45.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0 m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A2UW16GFA2 / ZMNW07GSJC0 / ZMNW09GSJC0","","","","4.70","7.50","219.00","A++","4.10","4.20","A+","1367.00","","","","63","56","","","","","","","","","","","4.70","1.24","3.80","","","","","","","3.50","","6.30","","2.30","","9.40","","1.20","","11.70","","","5.30","","1.23","","4.30","3.60","","3.00","","2.30","","4.10","","1.60","","5.50","","1.50","","6.20","","-7","3.00","3.60","-15.00","3.10","2.40","","","","","","","","","","","5.00","5.00","","15.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","Z2UW16GFA0 / ZMNW07GSJC0 / ZMNW09GSJC0","","","","4.69","7.80","210.00","A++","4.10","4.20","A+","1367.00","","","","63","56","","","","","","","","","","","4.69","1.25","3.75","","","","","","","3.46","","6.00","","2.23","","9.70","","1.42","","15.10","","","5.30","","1.25","","4.25","3.63","","2.92","","2.22","","4.22","","1.60","","5.24","","1.57","","6.47","","-7","2.92","3.63","-15.00","3.50","2.25","","","","","","","","","","","5.00","5.00","","15.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A3UW18GFA2 / ZMNW09GSJC0 / ZMNW09GSJC0","","","","4.90","7.10","241.00","A++","4.80","3.80","A","1768.00","","","","63","56","","","","","","","","","","","4.90","1.29","3.80","","","","","","","3.60","","6.10","","2.30","","8.80","","1.90","","11.70","","","6.30","","1.62","","3.90","4.30","","2.80","","2.60","","3.70","","1.80","","4.80","","1.00","","5.10","","-7","2.80","4.30","-15.00","3.50","2.30","","","","","","","","","","","5.00","5.00","","18.00","30.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","Z3UW18GFA0 / ZMNW09GSJC0 / ZMNW09GSJC0","","","","4.90","7.11","241.00","A++","4.60","3.81","A","1690.00","","","","63","56","","","","","","","","","","","4.90","1.29","3.80","","","","","","","3.63","","6.20","","2.33","","9.40","","1.50","","10.00","","","6.30","","1.62","","3.90","4.07","","2.85","","2.48","","3.80","","1.65","","4.60","","1.00","","4.90","","-7","2.85","4.07","-15.00","3.80","2.25","","","","","","","","","","","5.70","5.70","","18.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A4UW24GFA2 / ZMNW07GSJC0 / ZMNW18GSKC0","","","","6.40","6.70","315.00","A++","6.60","3.80","A","2432.00","","","","64","56","","60","","","","","","","","","6.40","2.00","3.20","","","","","","","4.70","","5.50","","3.00","","8.50","","2.20","","10.50","","","8.40","","2.47","","3.40","5.90","","2.60","","3.60","","3.60","","2.40","","5.00","","1.90","","6.10","","-7","2.60","5.90","-15.00","4.80","2.20","","","","","","","","","","","5.00","5.00","","24.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","Z4UW24GFA0 / ZMNW07GSJC0 / ZMNW18GSKC0","","","","6.40","8.10","277.00","A++","6.70","4.00","A+","2345.00","","","","64","56","","60","","","","","","","","","6.40","1.60","4.00","","","","","","","4.72","","5.91","","3.04","","10.40","","2.20","","15.50","","","8.40","","2.15","","3.90","5.93","","2.63","","3.61","","3.94","","2.32","","5.10","","1.35","","6.20","","-7","2.63","5.93","-15.00","6.20","2.10","","","","","","","","","","","5.00","5.00","","24.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A4UW27GFA2 / ZMNW07GSJC0 / ZMNW18GSKC0","","","","6.80","6.60","340.00","A++","6.60","3.80","A","2432.00","","","","65","56","","60","","","","","","","","","6.80","2.27","3.00","","","","","","","5.00","","5.40","","3.30","","8.50","","2.20","","10.50","","","9.10","","2.84","","3.20","5.90","","2.60","","3.60","","3.60","","2.40","","5.00","","1.90","","6.10","","-7","2.60","5.90","-15.00","4.80","2.20","","","","","","","","","","","5.00","5.00","","24.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","Z5UW30GFA0 / ZMNW12GSJC0 / ZMNW18GSKC0","","","","7.30","7.80","328.00","A++","6.90","4.00","A+","2415.00","","","","66","56","","60","","","","","","","","","7.30","2.10","3.48","","","","","","","5.38","","5.93","","3.46","","9.60","","2.20","","15.10","","","10.10","","2.97","","3.40","6.11","","2.67","","3.72","","3.93","","2.39","","5.12","","1.35","","6.10","","-7","2.67","6.11","-15.00","6.20","2.10","","","","","","","","","","","5.00","5.00","","24.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m","Wall mounted","","","","true"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A5UW30GFA2 / ZMNW07GSJC0 / ZMNW24GSKC0","","","","7.30","6.30","418.00","A++","6.80","3.80","A","2505.00","","","","66","56","","65","","","","","","","","","7.30","2.61","2.80","","","","","","","5.40","","4.90","","3.50","","7.50","","2.20","","12.10","","","10.10","","3.37","","3.00","6.00","","2.70","","3.70","","3.70","","2.50","","4.80","","1.70","","5.50","","-7","2.70","6.00","-15.00","5.00","2.10","","","","","","","","","","","5.00","5.00","","28.00","35.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"LG ELECTRONICS Inc.","LG","MU","00.01.136","AC1/A/M/R","","","","","A5UW40GFA0 / ZMNW18GSKC0 / ZMNW24GSKC0","","","","10.50","5.60","656.00","A+","10.50","3.80","A","3868.00","","","","67","60","","65","","","","","","","","","10.50","2.92","3.60","","","","","","","7.70","","5.50","","6.10","","6.80","","6.00","","7.90","","","12.50","","3.79","","3.30","9.30","","2.70","","5.70","","3.80","","4.00","","4.60","","3.30","","5.60","","-10","2.30","10.50","-10.00","10.50","2.30","","","","","","","","","","","14.70","14.70","","26.80","45.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R410A","5.0m","Wall mounted","","","","false"
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ040TXJ2KG / AR07TXCAAWK / AR07TXCAAWK","","","","4.00","8.54","164.00","A+++","3.05","4.64","A++","922.00","","","","60","56","","56","","","","","","","","","4.00","0.90","4.44","","","","","","","2.95","","6.81","","1.89","","10.36","","1.43","","15.01","","","4.20","","0.90","","4.67","2.70","","3.33","","1.64","","4.56","","1.06","","5.61","","1.25","","7.43","","-7","3.33","2.70","-10.00","3.00","2.66","","","","","","","","","","","3.50","3.50","","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ050TXJ2KG / AR09TXCAAWK / AR09TXCAAWK","","","","5.00","8.54","205.00","A+++","4.21","4.64","A++","1270.00","","","","61","56","","56","","","","","","","","","5.00","1.22","4.10","","","","","","","3.68","","6.48","","2.37","","10.60","","1.42","","14.74","","","5.60","","1.28","","4.38","3.72","","2.80","","2.26","","4.65","","1.46","","6.20","","1.33","","7.60","","-7","2.80","3.72","-10.00","3.40","2.50","","","","","","","","","","","3.50","3.50","","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ052TXJ3KG / AR09TXEAAWK / AR09TXEAAWK","","","","5.00","7.00","250.00","A++","4.91","4.03","A+","1706.00","","","","61","56","","56","","","","","","","","","5.00","1.43","3.50","","","","","","","3.68","","5.50","","2.37","","8.40","","1.90","","12.10","","","5.80","","1.60","","3.63","4.34","","2.55","","2.64","","3.94","","1.70","","5.30","","1.60","","6.67","","-7","2.55","4.34","-10.00","4.30","2.46","","","","","","","","","","","3.50","3.50","","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ068TXJ3KG / AR07TXFCAWK / AR18TXEAAWK","","","","6.50","5.95","382.00","A+","5.09","3.85","A","1849.00","","","","64","54","","62","","","","","","","","","6.50","1.94","3.35","","","","","","","5.01","","4.75","","3.22","","7.90","","2.45","","11.00","","","7.80","","1.99","","3.92","4.50","","2.70","","2.74","","3.80","","2.01","","5.00","","2.45","","6.00","","-7","2.70","4.50","-10.00","4.85","2.52","","","","","","","","","","","10.00","10.00","","80.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ080TXJ4KG  / AR07TXFCAWK / AR24TXEAAWK","","","","7.45","5.28","494.00","A","5.20","3.80","A","1918.00","","","","64","54","","62","","","","","","","","","7.45","2.28","3.27","","","","","","","5.49","","4.44","","3.53","","6.52","","2.95","","8.94","","","8.12","","2.25","","3.61","4.60","","2.60","","2.80","","3.85","","3.20","","5.10","","3.89","","6.35","","-7","2.60","4.60","-10.00","5.00","2.24","","","","","","","","","","","12.00","12.00","","73.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"SAMSUNG Electronics Co.  Ltd","SAMSUNG","INVERTER","99.01.071","AC1/A/M/R","","","","","AJ100TXJ5KG  / AR18TXEAAWK / AR18TXEAAWK","","","","8.56","5.58","537.00","A","7.70","3.83","A","2812.00","","","","70","62","","62","","","","","","","","","8.56","2.57","3.33","","","","","","","6.35","","4.64","","4.05","","7.07","","3.80","","9.74","","","10.60","","2.92","","3.63","6.81","","2.69","","4.15","","3.90","","2.66","","4.59","","2.90","","5.47","","-7","2.69","6.81","-10.00","7.60","2.40","","","","","","","","","","","12.00","12.00","","100.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5","Wall mounted","","","",""
"TOSHIBA CARRIER EUROPE SAS","TOSHIBA","Multi","18.06.007","AC1/A/M/R","","","","","RAS‐2M10U2AVG-E/RAS-B10J2KVSG-E+RAS-B10J2KVSG-E","","","","3.30","6.73","172.00","A++","2.70","4.60","A++","822.00","","","","59","53","","53","","","","","","","","","3.30","0.75","4.40","","","","","","","2.43","","6.65","","1.94","","9.14","","2.01","","11.94","","","4.00","","0.81","","4.94","2.39","","3.39","","1.45","","4.75","","1.18","","5.67","","1.38","","6.69","","-7","3.39","2.39","-20.00","1.00","1.82","","","","","","","","","","","8.00","8.98","","36.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Variable","230-1-50","R32","5.0 m x2","Wall mounted","","","","true"
